Date,Open,High,Low,Close,Adj Close,Volume
2018-12-07,42.523720,42.637569,41.442123,41.669830,37.147728,27963885
2018-12-10,41.878559,42.277039,40.863377,42.125237,37.553726,26187895
2018-12-11,41.821632,42.229603,41.337761,41.755219,37.223862,23904931
2018-12-12,42.077801,42.552181,41.888046,41.897533,37.350731,20180938
2018-12-13,42.182163,42.599621,41.944973,42.286530,37.697514,23613921
2018-12-14,41.821632,41.859585,41.204933,41.555977,37.046238,33024982
2018-12-17,41.271347,41.717270,40.777988,40.901329,36.462639,38651866
2018-12-18,41.242886,41.271347,39.886147,40.227703,35.862106,31125779
2018-12-19,40.635674,40.787476,39.430740,39.819733,35.498421,36937957
2018-12-20,39.573055,40.237190,39.402279,39.800758,35.481499,34494680
2018-12-21,39.506641,40.673622,39.326378,39.781784,35.464584,61928192
2018-12-24,39.667931,39.810246,38.444023,38.472485,34.297367,19778205
2018-12-26,38.576851,40.037952,38.349148,40.028461,35.684490,25437131
2018-12-27,39.667931,40.654648,39.146111,40.654648,36.242725,28894672
2018-12-28,40.815941,41.309299,40.616699,40.759014,36.335766,25480977
2018-12-31,40.996204,41.489563,40.891842,41.413662,36.919369,20534028
2019-01-02,40.910816,41.271347,40.455406,41.034157,36.581047,26430315
2019-01-03,41.024670,41.119545,39.800758,39.886147,35.557617,28503533
2019-01-04,40.265656,41.129032,40.094875,40.796963,36.369591,27145348
2019-01-07,40.863377,41.385201,40.664139,41.015179,36.564125,20995469
2019-01-08,41.328274,41.461102,40.939278,41.204933,36.733284,19677231
2019-01-09,41.233398,41.432636,40.986717,41.119545,36.657166,20107580
2019-01-10,41.005692,41.015179,39.876659,40.142315,35.785988,39731162
2019-01-11,40.161289,40.683113,39.990513,40.683113,36.268105,21064506
2019-01-14,40.370018,40.445919,40.009487,40.199242,35.836742,17605173
2019-01-15,40.417458,41.024670,40.256168,40.540798,36.141228,25865371
2019-01-16,40.407970,40.597721,39.876659,39.952560,35.616825,30169380
2019-01-17,39.800758,40.474384,39.686909,40.294117,35.921314,24177284
2019-01-18,40.664139,40.683113,40.094875,40.351044,35.972069,38618455
2019-01-22,40.237190,40.502846,39.781784,40.104362,35.752155,29444122
2019-01-23,39.838711,40.037952,39.421253,40.000000,35.659126,24462813
2019-01-24,39.639469,39.648956,38.538898,38.851994,34.635693,34394023
2019-01-25,38.994308,39.136623,38.434536,38.557877,34.373501,35862455
2019-01-28,38.425049,38.453510,37.457306,37.504745,33.434654,39329694
2019-01-29,37.476280,38.757114,37.447819,38.681213,34.483452,51376808
2019-01-30,38.681213,39.611008,38.643265,39.449715,35.168552,36067880
2019-01-31,39.259960,40.436432,39.231499,40.275143,36.217976,40927452
2019-02-01,40.673622,40.910816,40.370018,40.683113,36.584850,27239681
2019-02-04,40.645161,40.645161,39.810246,40.265656,36.209446,19426485
2019-02-05,40.256168,40.540798,39.905125,39.952560,35.927891,21127641
2019-02-06,39.772297,40.199242,39.648956,40.161289,36.115593,16450410
2019-02-07,39.952560,39.990513,39.098671,39.563568,35.578079,24248008
2019-02-08,39.402279,40.075901,39.364326,40.066414,36.030270,27500125
2019-02-11,40.113853,40.142315,39.383301,39.544594,35.561024,27102134
2019-02-12,39.573055,39.857685,39.269451,39.724857,35.723133,30540177
2019-02-13,39.772297,39.905125,39.269451,39.563568,35.578079,24757195
2019-02-14,39.563568,39.962048,39.487667,39.819733,35.808449,19864949
2019-02-15,40.208729,40.332069,39.924099,40.227703,36.175312,19168993
2019-02-19,40.075901,40.664139,40.028461,40.417458,36.345955,24432985
2019-02-20,40.351044,40.379505,39.781784,40.037952,36.004677,27354884
2019-02-21,39.867172,40.151802,39.715370,39.981026,35.953484,19611883
2019-02-22,40.132828,40.920303,40.056927,40.759014,36.653107,24779329
2019-02-25,40.834915,41.148006,40.740040,40.872864,36.755486,25274815
2019-02-26,40.759014,41.015179,40.607212,40.815941,36.704292,16548959
2019-02-27,40.777988,41.005692,40.616699,40.730549,36.627510,16475074
2019-02-28,40.749527,41.537003,40.673622,41.129032,36.985847,39002427
2019-03-01,41.375713,41.546490,41.072105,41.138519,36.994385,26667781
2019-03-04,41.214420,41.356735,40.683113,40.863377,36.746952,22805820
